stratum,pmcid,n_lines,n_chars,title
short,PMC5428615,166,31997,Clinical characteristics and outcomes of patients with myocarditis mimicking ST-segment elevation myocardial infarction: Analysis of a case series
short,PMC5604672,217,32045,The role of serum angiopoietin-2 levels in progression and prognosis of lung cancer: A meta-analysis
short,PMC6210689,223,32063,Lack of Association of Coffee Consumption with the Prevalence of Self-Reported Type 2 Diabetes Mellitus in a Mexican Population: A Cross-Sectional Study
short,PMC4985410,231,32158,Assessment of Left Ventricular Ejection Fraction Calculation on Long-axis Views From Cardiac Magnetic Resonance Imaging in Patients With Acute Myocardial Infarction
short,PMC3721905,266,32266,Early diastolic functional abnormalities in normotensive offspring of Nigerian hypertensives
short,PMC6512017,244,32477,The Burden of Undiagnosed Diabetes Mellitus in Adult African Population: A Systematic Review and Meta-Analysis
short,PMC4381682,255,32499,The Impact of Incarceration on Obesity: Are Prisoners with Chronic Diseases Becoming Overweight and Obese during Their Confinement?
short,PMC8111520,244,32554,"Diagnosis of gestational diabetes in Uganda: The reactions of women, family members and health workers"
short,PMC3599954,341,32637,Overt diabetes mellitus among newly diagnosed Ugandan tuberculosis patients: a cross sectional study
short,PMC4241593,269,32739,The proposed role of plasma NT pro-brain natriuretic peptide in assessing cardiac remodelling in hypertensive African subjects
short,PMC9338576,318,32767,Video-assisted thoracoscopic treatment as two-day surgery for lung neoplasms: a propensity-matched analysis
short,PMC8356939,254,32782,"Management of diabetes mellitus at the household level using community health strategy in Embu County, Kenya"
short,PMC9825023,288,32821,A systematic review and meta-analysis of the association between sarcopenia and myocardial infarction
short,PMC12482903,306,32878,A meta-analysis about the relationship of serum nesfatin-1 levels in patients with type 2 diabetes mellitus
short,PMC3860441,162,33104,Systems Biology in the study of Neurological Disorders: Focus on Alzheimer’s Disease
short,PMC3747268,230,33116,"Myocardial Salvage is Reduced in Primary PCI-Treated STEMI Patients with Microvascular Obstruction, Demonstrated by Early and Late CMR"
short,PMC11210264,267,33146,The association between diabetes mellitus and prostate cancer: a meta-analysis and Mendelian randomization
short,PMC4501756,232,33166,Meta-Analysis of the Associations of p-Cresyl Sulfate (PCS) and Indoxyl Sulfate (IS) with Cardiovascular Events and All-Cause Mortality in Patients with Chronic Renal Failure
short,PMC8742505,206,33228,Assessment of erythrocyte morphology in patients with type 2 diabetes mellitus: a pilot study of electron microscopy-based analysis in relation to healthy controls
short,PMC4016044,243,33319,Acute Myocardial Infarction in Sub-Saharan Africa: The Need for Data
short,PMC8565009,329,33335,The association between diabetes mellitus and HRQoL of older people in Shanghai
short,PMC7774736,263,33348,Incidence trends of lung and gastroenteropancreatic neuroendocrine neoplasms in Switzerland
short,PMC10916801,278,33384,"Genetic polymorphisms in the angiotensin converting enzyme, actinin 3 and paraoxonase 1 genes in women with diabetes and hypertension"
short,PMC8136679,326,33388,"Attitude towards diabetes mellitus among adult communities in Gondar city, Ethiopia"
short,PMC3103416,249,33396,Evaluation of the impact of genetic polymorphisms in glutathione-related genes on the association between methylmercury or n-3 polyunsaturated long chain fatty acids and risk of myocardial infarction: a case-control study
short,PMC6195263,281,33411,Modeling the impact of obesity on the lifetime risk of chronic kidney disease in the United States using updated estimates of GFR progression from the CRIC study
short,PMC3971618,280,33421,"Characterisation of left ventricular function by tissue Doppler imaging technique in newly diagnosed, untreated hypertensive subjects"
short,PMC5609608,289,33451,Heart rate variability based on risk stratification for type 2 diabetes mellitus
short,PMC9977539,274,33452,A Systematic Review and Meta-Analysis of Influences of Chronic Kidney Disease on Patients after Percutaneous Coronary Intervention for Chronic Total Occlusions
short,PMC2940768,280,33454,E-selectin gene polymorphisms are associated with essential hypertension: a case-control pilot study in a Chinese population
short,PMC1877813,279,33458,Does the aldosterone: renin ratio predict the efficacy of spironolactone over bendroflumethiazide in hypertension? A clinical trial protocol for RENALDO (RENin-ALDOsterone) study
short,PMC5570270,211,33464,Influence of coronary architecture on the variability in myocardial infarction induced by coronary ligation in rats
short,PMC10768552,257,33481,Prevalence of gestational diabetes mellitus and associated factors among women receiving antenatal care at a tertiary hospital in South-Western Uganda
short,PMC6950911,286,33614,Cardiac surgery in acute myocardial infarction: crystalloid versus blood cardioplegia – an experimental study
short,PMC10256605,221,33645,Implementation of the 2018 ESC/ESH Guidelines for the management of hypertension in primary care: the HYPEDIA study
short,PMC4960337,173,33645,Smoking Cessation Carries a Short-Term Rising Risk for Newly Diagnosed Diabetes Mellitus Independently of Weight Gain: A 6-Year Retrospective Cohort Study
short,PMC5419913,199,33648,Glycated hemoglobin level is an independent predictor of major adverse cardiac events after nonfatal acute myocardial infarction in nondiabetic patients: A retrospective observational study
short,PMC5515760,205,33755,Correlation of iodine uptake and perfusion parameters between dual-energy CT imaging and first-pass dual-input perfusion CT in lung cancer
short,PMC11112893,300,33756,A comparison of oral bacteriome isolated from periodontal pockets of participants with or without diabetes mellitus in Uganda: a case control study
short,PMC3523141,230,33835,"Serum Lipid Profile of Newly Diagnosed Hypertensive Patients in Nnewi, South-East Nigeria"
short,PMC10065091,306,33938,Depressive symptoms among older adults with diabetes mellitus: a cross-sectional study
short,PMC7171657,218,33945,"Effects of Flash Glucose Monitoring on Dietary Variety, Physical Activity, and Self-Care Behaviors in Patients with Diabetes"
short,PMC5326029,252,33955,"Hypertension in the Ferlo (Northern Senegal): prevalence, awareness, treatment and control"
short,PMC4670225,326,34008,Quality and Cost of Diabetes Mellitus Care in Community Health Centers in the United States
short,PMC5371492,212,34010,"Head-to-head comparison of 11C-PiB and 18F-FC119S for Aβ imaging in healthy subjects, mild cognitive impairment patients, and Alzheimer's disease patients"
short,PMC5302066,271,34037,"The impact of gender, level of amputation and diabetes on prosthetic fit rates following major lower extremity amputation"
short,PMC4730636,327,34110,Anemia and risk for cognitive decline in chronic kidney disease
short,PMC4839801,171,34117,The Incidence of Cardiovascular Events Is Comparable Between Normoalbuminuric and Albuminuric Diabetic Patients With Chronic Kidney Disease
short,PMC6544065,232,34155,Non-Medical Strategies to Improve Pregnancy Outcomes of Women with Gestational Diabetes Mellitus: A literature review
short,PMC6510908,256,34165,Association between serum Na–Cl level and renal function decline in chronic kidney disease: results from the chronic kidney disease Japan cohort (CKD-JAC) study
short,PMC4113441,294,34239,"Awareness, Treatment, Control of Diabetes Mellitus and the Risk Factors: Survey Results from Northeast China"
short,PMC7913410,320,34248,The clinical profiles and outcomes of HIV-negative cryptococcal meningitis patients in type II diabetes mellitus
short,PMC4521845,276,34265,Gout and Risk of Myocardial Infarction: A Systematic Review and Meta-Analysis of Cohort Studies
short,PMC5305035,233,34326,Mapping the methylation status of the miR-145 promoter in saphenous vein smooth muscle cells from individuals with type 2 diabetes
short,PMC8379120,283,34426,Prognostic ability of mid-term worsening renal function after percutaneous coronary intervention: findings from the SHINANO registry
short,PMC5396487,229,34441,Effective Universal Coverage of Diabetes Mellitus Type 2 in Chile
short,PMC7706226,302,34472,Investigating the prevalence of hypertension and its associated risk factors in a population-based study: Fasa PERSIAN COHORT data
short,PMC5690724,199,34497,Subcellular localization of β-arrestin1 and its prognostic value in lung adenocarcinoma
short,PMC2958444,308,34533,The Relationship between the Transforming Growth Factor β1 T29C Gene Polymorphism and Left Ventricular Geometry and Function in Hypertensive Subjects
short,PMC3924195,283,34570,Determinants of the creatinine clearance to glomerular filtration rate ratio in patients with chronic kidney disease: a cross-sectional study
short,PMC5657061,277,34608,"The effect of renal denervation in an experimental model of chronic renal insufficiency, The REmnant kidney Denervation In Pigs study (REDIP study)"
short,PMC4748920,183,34618,Recent Trends in Hospitalization for Acute Myocardial Infarction in Beijing: Increasing Overall Burden and a Transition From ST-Segment Elevation to Non-ST-Segment Elevation Myocardial Infarction in a Population-Based Study
short,PMC9283055,248,34642,Silencing lncRNA 93358 Inhibits the Apoptosis of Myocardial Cells in Myocardial Infarction Rats by Inducing the Expression of SLC8A1
short,PMC9360707,276,34738,Breastfeeding mobile application for mothers with gestational diabetes mellitus: designed by mothers and experts
short,PMC10606350,248,34741,The Clinical and Molecular Profile of Lung Cancer Patients Harboring the TP53 R337H Germline Variant in a Brazilian Cancer Center: The Possible Mechanism of Carcinogenesis
short,PMC4602448,187,34749,High Body Mass Index Reduces Glomerular Filtration Rate Decline in Type II Diabetes Mellitus Patients With Stage 3 or 4 Chronic Kidney Disease
short,PMC7727251,288,34785,Non-pharmacological interventions for the prevention of type 2 diabetes mellitus in low and middle-income countries: protocol for a systematic review and meta-analysis of randomized controlled trials
short,PMC5023915,205,34792,Increased GABA concentrations in type 2 diabetes mellitus are related to lower cognitive functioning
short,PMC11346952,265,34797,An approach to integrated management of diabetes in tuberculosis patients: Availability and readiness of the health facilities of Bangladesh
short,PMC9446362,261,34829,P300 latency and amplitude in Alzheimer's disease: a systematic review
short,PMC4222027,261,34832,A multifaceted strategy using mobile technology to assist rural primary healthcare doctors and frontline health workers in cardiovascular disease risk management: protocol for the SMARTHealth India cluster randomised controlled trial
short,PMC10100199,310,34878,Predictors and characteristics of Rib fracture following SBRT for lung tumors
short,PMC2706218,327,34940,Profile and predictor of health-related quality of life among hypertensive patients in south-western Nigeria
short,PMC6010458,213,34943,Uncontrolled hypertension increases risk of all-cause and cardiovascular disease mortality in US adults: the NHANES III Linked Mortality Study
short,PMC9345691,234,34992,Identification of Metabolite Markers Associated with Kidney Function
short,PMC9038861,278,34998,Feasibility of diffusion-weighted magnetic resonance imaging in evaluation of early therapeutic response after CT-guided microwave ablation of inoperable lung neoplasms
short,PMC8983729,232,35034,Impact of weather changes on hospital admissions for hypertension
short,PMC10081979,221,35070,Identification of Chromatin Regulatory Factors Related to Immunity and Treatment of Alzheimer’s Disease
short,PMC3598715,312,35078,The prevalence of traditional herbal medicine use among hypertensives living in South African communities
short,PMC7098606,377,35120,"Knowledge and associated factors towards diabetes mellitus among adult non-diabetic community members of Gondar city, Ethiopia 2019"
short,PMC5520342,300,35149,Circulating sortilin level as a potential biomarker for coronary atherosclerosis and diabetes mellitus
short,PMC11024783,152,35180,Impact of Pulsed Electromagnetic Field Therapy and Aerobic Exercise on Patients Suffering With Hypertension: A Systematic Review
short,PMC11580841,207,35250,Age- and amyloid-β-dependent initiation of neurofibrillary tau tangles: an improved mouse model of Alzheimer’s disease without mutations in MAPT
short,PMC12539876,269,35326,Management and optimization of chronic renal insufficiency in the setting of kidney cancer A Systematic Review
short,PMC11300943,262,35346,The Effect of Bone Marrow Mesenchymal Stem Cells on Nestin and Sox-2 Gene Expression and Spatial Learning (Percent Alternation Y-Maze Test) against AlCl3-Induced Alzheimer’s-like Pathology in a Rat Model
short,PMC10113056,228,35371,Relationship between Changes in Blood Glucose and Blood Lipid Levels and the Risk of Thyroid Cancer in Patients with Type 2 Diabetes Mellitus
short,PMC3117886,194,35407,"No Elevated Plasma Catecholamine Levels during Sleep in Newly Diagnosed, Untreated Hypertensives"
short,PMC3951206,239,35493,Limited health literacy is associated with low glomerular filtration in the Chronic Renal Insufficiency Cohort (CRIC) study
short,PMC8319704,348,35510,"Morbidity and mortality outcomes of COVID-19 patients with and without hypertension in Lagos, Nigeria: a retrospective cohort study"
short,PMC12237589,246,35519,"Comprehensive Assessment of the Impact of Blood Pressure, Body Mass Index, Smoking, and Diabetes on Healthy Life Expectancy in Japan: NIPPON DATA90"
short,PMC3975839,307,35575,Acute large-dose exposure to organophosphates in patients with and without diabetes mellitus: analysis of mortality rate and new-onset diabetes mellitus
short,PMC5207554,204,35625,"Impact of disease-management programs on metabolic control in patients with type 1 diabetes mellitus: A cohort study in Shantou, China"
short,PMC4603066,179,35626,An Increased Risk of Reversible Dementia May Occur After Zolpidem Derivative Use in the Elderly Population: A Population-Based Case-Control Study
short,PMC5851744,223,35626,Effect of hypoglycemic agents on survival outcomes of lung cancer patients with diabetes mellitus: A meta-analysis
short,PMC2855565,235,35679,Cardiovascular magnetic resonance of the myocardium at risk in acute reperfused myocardial infarction: comparison of T2-weighted imaging versus the circumferential endocardial extent of late gadolinium enhancement with transmural projection
short,PMC12503227,415,35714,Histological Analysis of Arterial and Venous Grafts Used in Coronary Bypass for Patients With Renal Insufficiency: A Prospective Multicentre Observational Study
short,PMC13154082,317,35776,Integrated Echo-Hemodynamic Framework for VA-ECMO in Right Ventricular Infarction
short,PMC10798730,304,35793,Meta-analysis of risk factors for posttraumatic stress disorder in myocardial infarction
short,PMC9690494,260,35902,A Study on Types of Medication Adherence in Hypertension among Older Patients and Influencing Factors
short,PMC8776520,176,35910,The Association of Lung Cancer and Sarcoidosis: A Systematic Review
short,PMC10503878,225,36071,Beyond Conventional Control: Insights Into Drug-Resistant Hypertension
mid,PMC10236766,226,36103,Risk prediction of gestational diabetes mellitus in women with polycystic ovary syndrome based on a nomogram model
mid,PMC8042020,258,36119,COPD significantly increases cerebral and cardiovascular events in hypertensives
mid,PMC3210140,197,36168,The effect of breast cancer awareness month on internet search activity - a comparison with awareness campaigns for lung and prostate cancer
mid,PMC4818501,250,36173,Mitochondrial DNA damage and vascular function in patients with diabetes mellitus and atherosclerotic cardiovascular disease
mid,PMC5105280,357,36212,"Obesity and diabetes mellitus association in rural community of Katana, South Kivu, in Eastern Democratic Republic of Congo: Bukavu Observ Cohort Study Results"
mid,PMC11001573,266,36334,Multifactorial prevention program for cardiovascular disease in primary care: hypertension status and effect on mortality
mid,PMC4616690,248,36349,Efficacy of Adenosine in Patients With Acute Myocardial Infarction Undergoing Primary Percutaneous Coronary Intervention: A PRISMA-Compliant Meta-Analysis
mid,PMC2287188,322,36436,Association of dopaminergic pathway gene polymorphisms with chronic renal insufficiency among Asian Indians with type-2 diabetes
mid,PMC4411519,308,36444,Diabetes screening: a pending issue in hypertense/obese patients
mid,PMC6634561,320,36536,Inequalities in Structural Social Capital and Health between Migrant and Local Hypertensive Patients
mid,PMC6202421,254,36553,Prediction of potential disease-associated microRNAs by composite network based inference
mid,PMC10659497,227,36570,Cross-phenotype associations between Alzheimer’s Disease and its comorbidities may provide clues to progression
mid,PMC8209386,213,36626,Dysregulation of the Excitatory Renal Reflex in the Sympathetic Activation of Spontaneously Hypertensive Rat
mid,PMC2831070,254,36694,Genetic Variability in CLU and Its Association with Alzheimer's Disease
mid,PMC3966818,240,36780,Molecular Topology as Novel Strategy for Discovery of Drugs with Aβ Lowering and Anti-Aggregation Dual Activities for Alzheimer’s Disease
mid,PMC6837603,362,36822,A prospective study assessing feasibility of performing percutaneous nephrolithotomy in chronic kidney disease patients - What factors affect the outcome?
mid,PMC3608613,249,36851,Longer Telomere Length in Peripheral White Blood Cells Is Associated with Risk of Lung Cancer and the rs2736100 (CLPTM1L-TERT) Polymorphism in a Prospective Cohort Study among Women in China
mid,PMC7835148,354,37037,Risk factors for pancreas and lung neuroendocrine neoplasms: a case–control study
mid,PMC11600683,270,37075,"The relationship between serum levels of LOX-1, hs-cTnT, NGAL, and renal function, and their diagnostic value in patients with chronic kidney disease: a retrospective study"
mid,PMC6023630,272,37085,Metabolic Syndrome-Related Features in Controlled and Resistant Hypertensive Subjects
mid,PMC11801616,332,37118,Impact of type 2 diabetes mellitus on results in the animal naming test in patients with and without liver cirrhosis
mid,PMC4978855,306,37182,Ethnic difference in the prevalence of pre-diabetes and diabetes mellitus in regions with Sami and non-Sami populations in Norway – the SAMINOR1 study
mid,PMC8688487,262,37194,Undiagnosed diabetes mellitus and associated factors among adults in Ethiopia: a systematic review and meta-analysis
mid,PMC12520724,305,37197,Relationship between dietary inflammatory index and risk of gestational diabetes mellitus: a systematic review
mid,PMC6930276,166,37272,Intravoxel Incoherent Motion Magnetic Resonance Imaging with Integrated Slice-specific Shimming for old myocardial infarction: A Pilot Study
mid,PMC11972561,332,37344,Tumor marker elevations in chronic kidney disease: a retrospective study
mid,PMC5675402,279,37352,Increasing prevalence of diabetes mellitus in a developing country and its related factors
mid,PMC4197296,229,37369,"Uncontrolled hypertension among hypertensive patients on treatment in Lupane District, Zimbabwe, 2012"
mid,PMC5473552,267,37564,Association of Alzhemier's disease with hepatitis C among patients with bipolar disorder
mid,PMC12289147,264,37566,Use of automated quantitative pupillometric evaluation for monitoring the severity of diabetic retinopathy
mid,PMC5464887,249,37590,Identification of STXBP2 as a novel susceptibility locus for myocardial infarction in Japanese individuals by an exome-wide association study
mid,PMC5572005,169,37617,Effect of charted mental illness on reperfusion therapy in hospitalized patients with an acute myocardial infarction in Florida
mid,PMC7794905,270,37619,Association between Gene Polymorphisms of Vitamin D Receptor and Gestational Diabetes Mellitus: A Systematic Review and Meta-Analysis
mid,PMC2223512,75,37624,"Comparative analysis of expression of the proprotein convertases furin, PACE4, PC1 and PC2 in human lung tumours"
mid,PMC11216020,241,37741,Functional autoantibodies against G protein-coupled receptors in hepatic and pulmonary hypertensions in human schistosomiasis
mid,PMC12067569,363,37788,Psychological insulin resistance among patients with diabetes mellitus in Botswana
mid,PMC11249421,202,37861,Continued decline in the incidence of myocardial infarction beyond the COVID-19 pandemic: a nationwide study of the Swedish population aged 60 and older during 2015–2022
mid,PMC9376236,383,37956,Impact of preexisting diabetes mellitus on cardiovascular and all-cause mortality in patients with atrial fibrillation: A meta-analysis
mid,PMC10509015,250,37966,Immune checkpoint inhibitor– and phosphatidylinositol-3-kinase inhibitor–related diabetes induced by antineoplastic drugs: two case reports and a literature review
mid,PMC5554219,253,38000,Circulating CD40 and sCD40L Predict Changes in Renal Function in Subjects with Chronic Kidney Disease
mid,PMC5218460,319,38046,The Systematic Evaluation of Identifying the Infarct Related Artery Utilizing Cardiac Magnetic Resonance in Patients Presenting with ST-Elevation Myocardial Infarction
mid,PMC11346707,240,38125,Impact of Hypertension on the Dose-Response Association Between Physical Activity and Stroke: A Cohort Study
mid,PMC7382460,234,38129,Impact of an active lifestyle on heart rate variability and oxidative stress markers in offspring of hypertensives
mid,PMC6372132,235,38197,Wave intensity analysis in the internal carotid artery of hypertensive subjects using phase-contrast MR angiography and preliminary assessment of the effect of vessel morphology on wave dynamics
mid,PMC13037665,385,38238,Computed Tomography-Guided Percutaneous Core Needle Biopsy of Lung Lesions: Factors influencing diagnostic yield and complications
mid,PMC5405955,295,38240,Transplantation of induced mesenchymal stem cells for treating chronic renal insufficiency
mid,PMC6723949,261,38284,Polypharmacy in Type 2 Diabetes Mellitus: Insights from an Internal Medicine Department
mid,PMC8047269,271,38316,Risk Factors for Anemia in Patients with Chronic Renal Failure: A Systematic Review and Meta-Analysis
mid,PMC11510088,220,38332,The Role of Vericiguat in Early Phases of Anterior Myocardial Infarction: A Potential Game-Changer?
mid,PMC3244409,267,38362,Plasma Biomarkers of Brain Atrophy in Alzheimer's Disease
mid,PMC6502320,233,38385,Alzheimer's disease: Estimating its prevalence rate in a French geographical unit using the National Alzheimer Data Bank and national health insurance information systems
mid,PMC8791222,252,38394,The effects of metformin and alendronate in attenuating bone loss and improving glucose metabolism in diabetes mellitus mice
mid,PMC7683166,256,38432,Risk Factors of Cerebral Infarction and Myocardial Infarction after Carotid Endarterectomy Analyzed by Machine Learning
mid,PMC12969435,292,38526,Managing Acute Myocardial Infarction in Remote Oman: Real-world data from Al Wusta Governorate
mid,PMC6400970,253,38598,Optimal cardiac strategy based on the history of myocardial infarction in type 2 diabetic patients with coronary artery disease
mid,PMC5682784,255,38656,"Identification of differential expressed PE exosomal miRNA in lung adenocarcinoma, tuberculosis, and other benign lesions"
mid,PMC8288490,246,38667,Knockdown of Myeloid Cell Leukemia-1 by MicroRNA-101 Increases Sensitivity of A549 Lung Cancer Cells to Etoposide
mid,PMC11189917,214,38747,Deep Ensemble learning and quantum machine learning approach for Alzheimer’s disease detection
mid,PMC4247067,369,38789,"Analysis on associated factors of uncontrolled hypertension among elderly hypertensive patients in Southern China: a community-based, cross-sectional survey"
mid,PMC7222568,353,38799,Impact of type 2 diabetes mellitus on mid-term mortality for hypertrophic cardiomyopathy patients who underwent septal myectomy
mid,PMC3112133,343,38823,"Implementing a hypertension management programme in a rural area: local approaches and experiences from Ba-Vi district, Vietnam"
mid,PMC3848873,260,38865,Prevalence and risk factors for resistant hypertension among hypertensive patients from a developing country
mid,PMC5131971,327,38902,Are Urinary Tubular Injury Markers Useful in Chronic Kidney Disease? A Systematic Review and Meta Analysis
mid,PMC4902352,222,38918,Body Mass Index and Cancer Mortality Among Korean Older Middle-Aged Men: A Prospective Cohort Study
mid,PMC8954358,295,38986,UGT1A1 Gene Polymorphism Contributes as a Risk Factor for Lung Cancer: A Pilot Study with Patients from the Amazon
mid,PMC2432046,252,39017,The interaction of vasoactive substances during exercise modulates platelet aggregation in hypertension and coronary artery disease
mid,PMC10804508,253,39075,The correlation between tumor radiological features and spread through air spaces in peripheral stage IA lung adenocarcinoma: a propensity score-matched analysis
mid,PMC10714632,306,39083,Post-traumatic stress disorder among heart disease patients: a clinical follow-up of individuals with myocardial infarction in the Tromsø Study
mid,PMC9181472,285,39087,"Polysomnographic Evaluation of Sleep Bruxism Intensity and Sleep Architecture in Nonapneic Hypertensives: A Prospective, Observational Study"
mid,PMC12995263,283,39169,Association Between Depression and Increased Odds of Inpatient Mortality Following Hip Fracture Repair
mid,PMC5072944,209,39198,Radiation-induced heart disease in lung cancer radiotherapy: A dosimetric update
mid,PMC10134524,292,39199,Diagnostic value of neutrophil gelatinase-associated lipocalin (NGAL) as an early biomarker for detection of renal failure in hypertensives: a case–control study in a regional hospital in Ghana
mid,PMC6064622,305,39286,Impact of serum cholesterol esterification rates on the development of diabetes mellitus in a general population
mid,PMC6280809,263,39328,Prognostic value of plasma NT-proBNP levels in very old patients with moderate renal insufficiency in China
mid,PMC4603123,204,39398,Adiponectin is Not Associated With Blood Pressure in Normotensives and Untreated Hypertensives With Normal Kidney Function
mid,PMC3167747,191,39443,Stress induced hypertensive response: should it be evaluated more carefully?
mid,PMC5604625,211,39459,Shared polymorphisms and modifiable behavior factors for myocardial infarction and high cholesterol in a retrospective population study
mid,PMC4676825,309,39490,"Gastrointestinal symptoms, inflammation and hypoalbuminemia in chronic kidney disease patients: a cross-sectional study"
mid,PMC11059984,321,39501,Resveratrol Has Histone 4 and Beta-Defensin 1-Mediated Favorable Biotherapeutic Effects on Liver and Other Target Organs in Diabetic Rats
mid,PMC8702745,353,39524,"Myocardial Infarction Complications After Surgery in Vietnam: Estimates of Incremental Cost, Readmission Risk, and Length of Hospital Stay"
mid,PMC6393031,248,39529,High red cell distribution width at the time of ST segment elevation myocardial infarction is better at predicting diastolic than systolic left ventricular dysfunction: A single-center prospective cohort study
mid,PMC5079314,193,39569,Risk of hospitalization for hypoglycemia among older Korean people with diabetes mellitus: Interactions between treatment modalities and comorbidities
mid,PMC10901917,362,39580,The influence of chronic renal insufficiency on multi-therapeutic modalities for breast cancer: a single-center experience
mid,PMC5507536,300,39597,ANK1 is up-regulated in laser captured microglia in Alzheimer’s brain; the importance of addressing cellular heterogeneity
mid,PMC3286451,254,39612,Helicobacter pylori Seropositivity and Risk of Lung Cancer
mid,PMC4409366,299,39623,Association between Inflammation and Cardiac Geometry in Chronic Kidney Disease: Findings from the CRIC Study
mid,PMC3679066,187,39632,"TUSC1, a Putative Tumor Suppressor Gene, Reduces Tumor Cell Growth In Vitro and Tumor Growth In Vivo"
mid,PMC11254288,348,39711,Intentional wedge resection versus segmentectomy for ≤2 cm ground-glass-opacity-dominant non-small cell lung cancer: a real-world study using inverse probability of treatment weighting
mid,PMC13229207,246,39726,P2X7 receptor and neuroinflammation in neurodegenerative disorders: an autoradiography study with [18F]JNJ-64413739
mid,PMC3742514,219,39759,Decreases in Electrocardiographic R-Wave Amplitude and QT Interval Predict Myocardial Ischemic Infarction in Rhesus Monkeys with Left Anterior Descending Artery Ligation
mid,PMC5591166,190,39772,Global longitudinal strain predicts incident atrial fibrillation and stroke occurrence after acute myocardial infarction
mid,PMC11965360,286,39800,Global research trends of tumor microenvironment in non-small cell lung cancer with epidermal growth factor receptor mutation: a bibliometric analysis from 2014 to 2023
mid,PMC9355720,331,39832,Finding Lung-Cancer-Related lncRNAs Based on Laplacian Regularized Least Squares With Unbalanced Bi-Random Walk
mid,PMC6312584,384,39863,"Toxoplasma gondii Infection in Diabetes Mellitus Patients in China: Seroprevalence, Risk Factors, and Case-Control Studies"
mid,PMC10754311,257,39903,Post-Infarction Ventricular Septal Defect: A quarter century experience
mid,PMC4203334,208,39917,Overexpression of type VI collagen in neoplastic lung tissues
mid,PMC12051716,316,40018,"Exploring Knowledge of Hypertension and Treatment Adherence in Hypertensive Patients From Lahore, Pakistan"
mid,PMC9954858,251,40089,Machine Learning System for Lung Neoplasms Distinguished Based on Scleral Data
mid,PMC5478118,297,40111,The association between serum uric acid and the incidence of prediabetes and type 2 diabetes mellitus: The Rotterdam Study
mid,PMC4016297,293,40149,Predictors of high sensitivity cardiac troponin T in chronic kidney disease patients: a cross-sectional study in the chronic renal insufficiency cohort (CRIC)
mid,PMC9855828,352,40200,CISD1 Is a Breast Cancer Prognostic Biomarker Associated with Diabetes Mellitus
mid,PMC4848912,272,40223,Additive Effect of Non-Alcoholic Fatty Liver Disease on Metabolic Syndrome-Related Endothelial Dysfunction in Hypertensive Patients
mid,PMC7315309,266,40295,"Risk Factors of Hypertension among Diabetic Patients from Yaoundé Central Hospital and Etoug-Ebe Baptist Health Centre, Cameroon"
mid,PMC1090564,291,40331,Angiotensinogen M235T gene variants and its association with essential hypertension and plasma renin activity in Malaysian subjects: A case control study
mid,PMC5344074,384,40387,Validation of self-reported diabetes in a representative sample of São Paulo city
mid,PMC4085089,261,40465,Gestational diabetes and risk of cardiovascular disease: a scoping review
mid,PMC13094361,302,40488,Enhancing Diagnostic Pathways for Bronchopulmonary Neuroendocrine Tumors: Assessment of the South Wales Neuroendocrine Tumor Service Transformation
mid,PMC13166505,328,40585,"Trends, pathological classification of renal diseases proved by biopsy: A 10-year retrospective cohort study in an East Chinese Tertiary Center"
mid,PMC9957054,316,40650,"Association between Polymorphism of Genes IL-1A, NFKB1, PAR1, TP53, and UCP2 and Susceptibility to Non-Small Cell Lung Cancer in the Brazilian Amazon"
mid,PMC9368588,378,40655,Effects of Tobacco Smoking on the Survivability of Patients with Multiple Cancers and Single Lung Cancer
mid,PMC7467615,268,40687,Serum uric acid and left ventricular hypertrophy in hypertensive patients in Ado-Ekiti
mid,PMC10694352,301,40797,Free triiodothyronine (FT3)-to-free thyroxine (FT4) ratio identified as a risk factor for gestational diabetes in euthyroid pregnant women: insights from a Chinese population cohort study
mid,PMC11353311,327,40843,Impact of the COVID-19 Pandemic on the Diagnosis of Malignant Neoplasia of the Bronchus and Lung in the Burgos Region
mid,PMC10548403,350,40858,Parental History of Hypertension: A Risk for Autonomic Dysfunction and Metabolic and Vascular Derangement in Normotensive Male Offspring
mid,PMC4022589,254,40944,Diabetes Mellitus and Poorer Prognosis in Hepatocellular Carcinoma: A Systematic Review and Meta-Analysis
mid,PMC1247478,255,40947,"Lead, Diabetes, Hypertension, and Renal Function: The Normative Aging Study"
mid,PMC8696230,345,41084,Treatment of hypertension with angiotensin‐converting enzyme inhibitors or angiotensin receptor blockers and resting metabolic rate: A cross‐sectional study
mid,PMC6490907,374,41137,Cardiovascular disease risk factor prevalence and estimated 10-year cardiovascular risk scores in Indonesia: The SMARThealth Extend study
mid,PMC7069391,275,41206,Cerebral Blood Flow Response to Simulated Hypovolemia in Essential Hypertension: A Magnetic Resonance Imaging Study
mid,PMC7065699,307,41267,Association between Bioactive Molecules in Breast Milk and Type 1 Diabetes Mellitus
mid,PMC5089099,237,41343,Effects of flavopiridol on critical regulation pathways of CD133high/CD44high lung cancer stem cells
mid,PMC4803201,413,41437,Health Insurance Coverage and Hypertension Control in China: Results from the China Health and Nutrition Survey
mid,PMC5489649,308,41444,TET1-mediated DNA hypomethylation regulates the expression of MUC4 in lung cancer
mid,PMC9424486,299,41520,A meta-analysis of genome-wide gene expression differences identifies promising targets for type 2 diabetes mellitus
